Id,Prediction
1,LU
2,BE
3,LU
4,BS
5,ZH
6,LU
7,LU
8,ZH
9,BS
10,BS
11,LU
12,LU
13,ZH
14,LU
15,BS
16,BS
17,ZH
18,LU
19,BE
20,BS
21,LU
22,ZH
23,LU
24,BE
25,LU
26,LU
27,LU
28,ZH
29,BS
30,ZH
31,ZH
32,LU
33,BS
34,LU
35,BS
36,LU
37,BE
38,BS
39,BE
40,BE
41,BE
42,BE
43,ZH
44,BS
45,LU
46,BE
47,LU
48,ZH
49,LU
50,BE
51,LU
52,LU
53,ZH
54,BS
55,BE
56,ZH
57,BE
58,ZH
59,LU
60,BE
61,BS
62,BS
63,BS
64,BE
65,LU
66,BE
67,ZH
68,BE
69,ZH
70,LU
71,ZH
72,BE
73,ZH
74,ZH
75,ZH
76,ZH
77,LU
78,ZH
79,LU
80,BS
81,BE
82,ZH
83,BS
84,BE
85,BS
86,ZH
87,BE
88,BS
89,BE
90,BE
91,LU
92,LU
93,LU
94,BS
95,BE
96,ZH
97,BE
98,ZH
99,LU
100,LU
101,BS
102,ZH
103,ZH
104,BE
105,LU
106,BS
107,ZH
108,ZH
109,BE
110,BE
111,LU
112,LU
113,ZH
114,BS
115,LU
116,BE
117,BS
118,BE
119,BE
120,LU
121,ZH
122,BS
123,BE
124,LU
125,ZH
126,ZH
127,BS
128,BE
129,BS
130,BE
131,ZH
132,ZH
133,BS
134,LU
135,BE
136,LU
137,LU
138,BS
139,BE
140,BS
141,ZH
142,BE
143,ZH
144,BE
145,ZH
146,BE
147,LU
148,BE
149,ZH
150,BS
151,BS
152,LU
153,BE
154,LU
155,BE
156,BE
157,BS
158,BE
159,BE
160,BE
161,BE
162,ZH
163,LU
164,BE
165,ZH
166,LU
167,LU
168,ZH
169,BS
170,ZH
171,BE
172,ZH
173,ZH
174,ZH
175,ZH
176,BE
177,BS
178,BE
179,LU
180,LU
181,BS
182,BS
183,BE
184,BE
185,LU
186,BS
187,BS
188,ZH
189,BS
190,BE
191,BS
192,BE
193,BE
194,BE
195,BE
196,ZH
197,ZH
198,BE
199,BE
200,LU
201,ZH
202,LU
203,ZH
204,ZH
205,ZH
206,ZH
207,BS
208,ZH
209,BS
210,ZH
211,ZH
212,ZH
213,BS
214,ZH
215,BS
216,LU
217,LU
218,LU
219,BS
220,BE
221,ZH
222,LU
223,BE
224,ZH
225,BE
226,BE
227,BE
228,ZH
229,ZH
230,BE
231,BE
232,LU
233,BE
234,BS
235,BS
236,BS
237,BE
238,BS
239,BE
240,BS
241,ZH
242,ZH
243,BS
244,ZH
245,LU
246,ZH
247,LU
248,BS
249,ZH
250,LU
251,BS
252,BE
253,ZH
254,BS
255,BE
256,BE
257,BS
258,BS
259,ZH
260,LU
261,BS
262,BE
263,BS
264,BS
265,LU
266,ZH
267,BE
268,BE
269,BS
270,ZH
271,ZH
272,ZH
273,ZH
274,BE
275,BE
276,BE
277,BS
278,BE
279,ZH
280,LU
281,ZH
282,BE
283,ZH
284,LU
285,BE
286,LU
287,ZH
288,BE
289,BS
290,ZH
291,ZH
292,BE
293,ZH
294,LU
295,ZH
296,ZH
297,BS
298,BE
299,ZH
300,ZH
301,LU
302,ZH
303,BE
304,LU
305,LU
306,LU
307,ZH
308,LU
309,BE
310,BS
311,ZH
312,BS
313,BS
314,BE
315,LU
316,BE
317,BS
318,BE
319,LU
320,BS
321,BS
322,BE
323,BS
324,ZH
325,ZH
326,ZH
327,BS
328,BE
329,BS
330,ZH
331,BS
332,LU
333,ZH
334,ZH
335,ZH
336,ZH
337,ZH
338,LU
339,BS
340,BS
341,LU
342,LU
343,BE
344,LU
345,LU
346,BS
347,LU
348,ZH
349,BS
350,BE
351,ZH
352,ZH
353,BS
354,BS
355,ZH
356,LU
357,LU
358,BS
359,BS
360,BE
361,ZH
362,BE
363,BE
364,ZH
365,BS
366,BE
367,BE
368,LU
369,BE
370,BE
371,ZH
372,LU
373,BE
374,LU
375,BE
376,BS
377,LU
378,BS
379,BE
380,BE
381,ZH
382,BS
383,ZH
384,BS
385,ZH
386,LU
387,BE
388,ZH
389,BE
390,ZH
391,BE
392,BS
393,ZH
394,BE
395,BS
396,BE
397,BE
398,ZH
399,ZH
400,BS
401,ZH
402,ZH
403,LU
404,BE
405,BE
406,BS
407,BS
408,BE
409,BS
410,BS
411,LU
412,BS
413,ZH
414,LU
415,BE
416,BE
417,BE
418,ZH
419,LU
420,BS
421,BE
422,LU
423,BS
424,ZH
425,ZH
426,BE
427,BE
428,BS
429,ZH
430,BS
431,ZH
432,BS
433,BE
434,ZH
435,BS
436,LU
437,BS
438,BE
439,LU
440,BS
441,ZH
442,ZH
443,BE
444,BE
445,BE
446,BE
447,BE
448,ZH
449,LU
450,ZH
451,ZH
452,BS
453,BE
454,LU
455,BE
456,LU
457,LU
458,BS
459,ZH
460,BE
461,ZH
462,BE
463,BS
464,BE
465,LU
466,LU
467,BE
468,ZH
469,ZH
470,ZH
471,BE
472,ZH
473,BE
474,BE
475,BE
476,ZH
477,ZH
478,ZH
479,BS
480,BE
481,BE
482,BE
483,ZH
484,BE
485,ZH
486,LU
487,LU
488,BE
489,LU
490,BE
491,ZH
492,BE
493,BS
494,ZH
495,BS
496,BS
497,LU
498,BE
499,ZH
500,ZH
501,LU
502,ZH
503,BE
504,LU
505,LU
506,LU
507,LU
508,ZH
509,ZH
510,LU
511,LU
512,BS
513,LU
514,LU
515,LU
516,ZH
517,BE
518,LU
519,BS
520,BE
521,BE
522,BE
523,ZH
524,BE
525,ZH
526,BE
527,BE
528,BE
529,BE
530,BE
531,ZH
532,ZH
533,BE
534,LU
535,BS
536,BS
537,BE
538,LU
539,BE
540,BE
541,BE
542,ZH
543,LU
544,BS
545,LU
546,BE
547,BS
548,BS
549,ZH
550,ZH
551,BS
552,BE
553,LU
554,ZH
555,BE
556,LU
557,BS
558,BE
559,BS
560,BS
561,BS
562,LU
563,ZH
564,BE
565,BS
566,ZH
567,ZH
568,LU
569,LU
570,BS
571,BS
572,LU
573,ZH
574,BE
575,BS
576,BS
577,LU
578,ZH
579,ZH
580,BE
581,ZH
582,ZH
583,BE
584,ZH
585,BS
586,BE
587,LU
588,BS
589,ZH
590,BE
591,LU
592,LU
593,BE
594,BE
595,BE
596,LU
597,ZH
598,LU
599,BE
600,BE
601,ZH
602,BS
603,BE
604,ZH
605,ZH
606,LU
607,ZH
608,BS
609,BS
610,BE
611,BS
612,BS
613,BE
614,BS
615,LU
616,BE
617,BE
618,BE
619,BE
620,BS
621,BE
622,BE
623,BS
624,ZH
625,BE
626,BS
627,BS
628,BE
629,BE
630,LU
631,ZH
632,ZH
633,BS
634,BS
635,BE
636,LU
637,BS
638,LU
639,ZH
640,BE
641,ZH
642,BS
643,BE
644,BE
645,LU
646,LU
647,LU
648,ZH
649,ZH
650,ZH
651,BE
652,ZH
653,ZH
654,BS
655,BS
656,LU
657,BE
658,BS
659,BE
660,LU
661,ZH
662,ZH
663,BS
664,LU
665,ZH
666,BE
667,ZH
668,BE
669,ZH
670,BE
671,BE
672,LU
673,LU
674,LU
675,BS
676,ZH
677,BS
678,BE
679,LU
680,BS
681,ZH
682,ZH
683,BE
684,BE
685,BS
686,ZH
687,BE
688,BE
689,ZH
690,LU
691,BS
692,LU
693,BE
694,BE
695,BS
696,LU
697,LU
698,ZH
699,ZH
700,BS
701,BE
702,LU
703,ZH
704,BE
705,BS
706,BS
707,LU
708,ZH
709,LU
710,BS
711,LU
712,BS
713,ZH
714,LU
715,BE
716,LU
717,LU
718,LU
719,ZH
720,ZH
721,ZH
722,BE
723,ZH
724,LU
725,BE
726,LU
727,ZH
728,BS
729,ZH
730,ZH
731,LU
732,ZH
733,LU
734,ZH
735,ZH
736,BS
737,LU
738,LU
739,BS
740,ZH
741,BE
742,ZH
743,BE
744,ZH
745,BS
746,BE
747,BS
748,ZH
749,ZH
750,ZH
751,BS
752,BS
753,ZH
754,BE
755,LU
756,ZH
757,BE
758,BE
759,BS
760,BS
761,BE
762,BS
763,LU
764,ZH
765,LU
766,BS
767,BS
768,BS
769,BE
770,BS
771,LU
772,LU
773,LU
774,LU
775,BE
776,BE
777,BE
778,LU
779,BS
780,BE
781,BS
782,BS
783,ZH
784,BE
785,BE
786,BS
787,BE
788,BE
789,ZH
790,ZH
791,ZH
792,LU
793,BS
794,BS
795,LU
796,BE
797,ZH
798,ZH
799,BS
800,LU
801,ZH
802,BS
803,BE
804,LU
805,BE
806,ZH
807,BS
808,LU
809,BE
810,ZH
811,ZH
812,LU
813,ZH
814,BE
815,ZH
816,BE
817,ZH
818,BE
819,ZH
820,BE
821,ZH
822,ZH
823,BS
824,BE
825,BS
826,BE
827,LU
828,ZH
829,ZH
830,ZH
831,LU
832,LU
833,BE
834,LU
835,BE
836,BE
837,ZH
838,BS
839,BE
840,ZH
841,BS
842,BS
843,BS
844,ZH
845,BE
846,ZH
847,ZH
848,BS
849,LU
850,BE
851,BS
852,BE
853,BS
854,BE
855,BE
856,BS
857,LU
858,BE
859,LU
860,ZH
861,LU
862,BE
863,ZH
864,ZH
865,ZH
866,BE
867,BE
868,BS
869,LU
870,BS
871,BE
872,BE
873,ZH
874,BE
875,ZH
876,BS
877,BS
878,BS
879,LU
880,BE
881,LU
882,ZH
883,LU
884,LU
885,BS
886,BS
887,ZH
888,ZH
889,LU
890,BE
891,ZH
892,BE
893,ZH
894,ZH
895,BS
896,ZH
897,BE
898,BE
899,BE
900,LU
901,BE
902,BS
903,LU
904,LU
905,ZH
906,BS
907,BS
908,ZH
909,BS
910,ZH
911,ZH
912,LU
913,BE
914,BE
915,ZH
916,LU
917,BE
918,BE
919,LU
920,BE
921,LU
922,ZH
923,BS
924,ZH
925,LU
926,ZH
927,LU
928,BS
929,BS
930,LU
931,BS
932,BS
933,BE
934,BE
935,ZH
936,BE
937,BS
938,ZH
939,BS
940,BS
941,LU
942,LU
943,BS
944,ZH
945,LU
946,LU
947,BE
948,LU
949,ZH
950,BS
951,BE
952,BS
953,BS
954,BE
955,ZH
956,LU
957,BE
958,LU
959,BS
960,ZH
961,BS
962,BE
963,BE
964,BS
965,ZH
966,LU
967,BS
968,ZH
969,LU
970,LU
971,BS
972,ZH
973,ZH
974,ZH
975,BE
976,BS
977,LU
978,LU
979,BS
980,ZH
981,ZH
982,LU
983,BS
984,LU
985,BE
986,BE
987,BS
988,ZH
989,ZH
990,LU
991,LU
992,ZH
993,BE
994,ZH
995,BE
996,LU
997,ZH
998,ZH
999,LU
1000,LU
1001,BS
1002,LU
1003,ZH
1004,BS
1005,BE
1006,BS
1007,LU
1008,BE
1009,BS
1010,BE
1011,BE
1012,BE
1013,ZH
1014,LU
1015,BE
1016,BE
1017,LU
1018,LU
1019,ZH
1020,BE
1021,BS
1022,BE
1023,BS
1024,BE
1025,BE
1026,BE
1027,BS
1028,LU
1029,LU
1030,BS
1031,LU
1032,BE
1033,ZH
1034,BE
1035,BS
1036,BE
1037,BS
1038,BE
1039,BE
1040,BE
1041,BE
1042,ZH
1043,LU
1044,BE
1045,BE
1046,LU
1047,ZH
1048,ZH
1049,BE
1050,BE
1051,ZH
1052,BE
1053,BE
1054,BE
1055,BE
1056,ZH
1057,ZH
1058,BE
1059,BS
1060,BE
1061,LU
1062,ZH
1063,BE
1064,ZH
1065,ZH
1066,LU
1067,BS
1068,ZH
1069,BE
1070,LU
1071,BS
1072,LU
1073,ZH
1074,BE
1075,LU
1076,LU
1077,BS
1078,ZH
1079,ZH
1080,ZH
1081,ZH
1082,ZH
1083,BE
1084,ZH
1085,ZH
1086,BS
1087,ZH
1088,ZH
1089,BE
1090,BE
1091,ZH
1092,BE
1093,BE
1094,BE
1095,BE
1096,LU
1097,LU
1098,LU
1099,ZH
1100,BS
1101,BE
1102,BE
1103,BE
1104,BS
1105,BS
1106,BS
1107,LU
1108,BS
1109,BS
1110,BE
1111,BE
1112,LU
1113,ZH
1114,BE
1115,ZH
1116,BE
1117,ZH
1118,BE
1119,BS
1120,BS
1121,BE
1122,BE
1123,BS
1124,BE
1125,LU
1126,BE
1127,LU
1128,ZH
1129,LU
1130,LU
1131,LU
1132,LU
1133,BS
1134,ZH
1135,BE
1136,BE
1137,BE
1138,LU
1139,BE
1140,BS
1141,ZH
1142,BE
1143,ZH
1144,ZH
1145,LU
1146,BE
1147,BE
1148,ZH
1149,ZH
1150,BE
1151,BE
1152,LU
1153,BS
1154,BS
1155,BS
1156,BE
1157,ZH
1158,BE
1159,BE
1160,LU
1161,BS
1162,ZH
1163,BE
1164,BS
1165,BS
1166,LU
1167,ZH
1168,ZH
1169,LU
1170,BE
1171,BS
1172,BS
1173,BS
1174,LU
1175,ZH
1176,ZH
1177,BE
1178,ZH
1179,BE
1180,LU
1181,BS
1182,ZH
1183,ZH
1184,BE
1185,BS
1186,BE
1187,BE
1188,BE
1189,BE
1190,BE
1191,ZH
1192,BS
1193,BS
1194,BE
1195,ZH
1196,BS
1197,BE
1198,ZH
1199,BE
1200,BE
1201,ZH
1202,BE
1203,BS
1204,BE
1205,BE
1206,ZH
1207,BE
1208,BE
1209,LU
1210,LU
1211,ZH
1212,ZH
1213,BE
1214,BS
1215,ZH
1216,BE
1217,BS
1218,BS
1219,BE
1220,ZH
1221,LU
1222,BE
1223,BS
1224,LU
1225,ZH
1226,BS
1227,BE
1228,BE
1229,LU
1230,ZH
1231,ZH
1232,LU
1233,BE
1234,BS
1235,ZH
1236,BS
1237,LU
1238,LU
1239,BS
1240,BE
1241,LU
1242,ZH
1243,BS
1244,BE
1245,LU
1246,BS
1247,BS
1248,LU
1249,ZH
1250,BE
1251,ZH
1252,ZH
1253,BE
1254,LU
1255,BE
1256,BS
1257,BE
1258,LU
1259,LU
1260,LU
1261,BE
1262,BS
1263,ZH
1264,BS
1265,BS
1266,BE
1267,BS
1268,LU
1269,ZH
1270,ZH
1271,BS
1272,BS
1273,BE
1274,BS
1275,LU
1276,LU
1277,BE
1278,BE
1279,BE
1280,BE
1281,BS
1282,BS
1283,BE
1284,ZH
1285,LU
1286,ZH
1287,BS
1288,BE
1289,ZH
1290,BS
1291,BE
1292,LU
1293,BS
1294,BE
1295,ZH
1296,LU
1297,LU
1298,ZH
1299,BE
1300,LU
1301,BE
1302,BS
1303,ZH
1304,BE
1305,ZH
1306,LU
1307,BE
1308,BE
1309,BE
1310,LU
1311,LU
1312,ZH
1313,BE
1314,BE
1315,LU
1316,BE
1317,BS
1318,BE
